theme_no,activity,outcomes,tags,start_month,end_month,milestone_months,links,status,notes
2,Monitor compliance with the new standard and share implementation best practices,1 OAI Compliancy Validator. | 1 Compliancy health CRIS/Repo Dashboard: chart with validation results per repo over time. | 4 WISH 2.0 best practice workshops.,"software, service, training",12,48,,CRIS/Repo Dashboard :: https://surf-ori.github.io/dashboards/cris-repository-overview.html,Not started,
2,Develop proof of concept for enriching local metadata with the OpenAIRE data broker,15 CRIS/repo managers attend training on the OpenAIRE broker feed to ingest enriched metadata in CRIS/repo. | Evaluation report on feedback quality.,"training, software, report",12,24,,OpenAIRE Broker :: https://catalogue.openaire.eu/service/openaire.broker/overview | Example broker feed :: https://provide.openaire.eu/repository/eurocrisdris::01222/events,Not started,
2,"Monitor usage of core entity PIDs (ROR, ORCiD, DOI) and promote local implementation","1 PID health CRIS/Repo Dashboard: chart with ROR, ORCiD and DOI presence in records per repo over time.","software, service",12,48,,CRIS/Repo Dashboard :: https://surf-ori.github.io/dashboards/cris-repository-overview.html,Not started,
2,Launch download statistics sharing pilot on OpenAIRE,2 CRIS/repos enabled for OpenAIRE Usage Counts.,configuration,12,18,,OpenAIRE Usage Counts :: https://catalogue.openaire.eu/service/openaire.usagecounts/overview,Not started,
3,Establish baseline metrics and reporting system for full-text uptake,"1 Digital sovereignty health CRIS/Repo Dashboard: chart with ratio of metadata records containing a link to a file (PDF) on the institutional domain, per repo over time.","software, service",1,6,,CRIS/Repo Dashboard :: https://surf-ori.github.io/dashboards/cris-repository-overview.html,Not started,
3,Create inventory of existing tools and methods for full-text capture,"1 advisory report with an inventory of existing tools and methods for full-text capture, by desk research & interviews with WISH, the PURE user group and OA Switchboard.",report,1,12,,,Not started,
3,Develop and pilot a local full-text capture service with shareable code and practices,1 selected full-text capture method made available for other repos. | 1 documentation set for others to implement.,"software, report",12,24,,,Not started,
3,Implement ecosystem-wide improvements to increase full-text availability,2 workshops for CRIS/repo managers to implement the selected method.,training,24,48,,,Not started,
4,"Implement pull mechanism for metadata and full-text publications, partly via OpenAIRE",1 added usage term in provide.openaire; full-text download for archiving by the KB e-Depot. | 1 weekly metadata + full-text harvest package of 13 CRISes and 31 institutional repositories.,"legal, feature, data",3,12,,,Not started,
4,Archive and back up all Dutch CRIS and repository content at KB National Library e-Depot,3.2 million records and full text safely stored in the KB e-Depot.,service,12,48,,,Not started,
4,Establish monitoring system for preservation status of publications and metadata,"1 Backup health CRIS/Repo Dashboard: chart with ratio of PDFs in the e-Depot vs in the repository, per repo over time.","software, service",12,38,,CRIS/Repo Dashboard :: https://surf-ori.github.io/dashboards/cris-repository-overview.html,Not started,
4,Update and maintain URN:NBN resolver functionality,URN:NBN resolver.,service,12,18,,,Not started,
5,Develop mappings and best practices for major indexes to improve Dutch research visibility,"1 guideline for adding repository content to OpenAlex, WorldCat and Google Scholar.",report,1,12,,Google Scholar inclusion guidelines :: https://scholar.google.com/intl/en/scholar/inclusion.html,Not started,
5,Implement DOI-minting capabilities for grey literature in DURF repositories,13 CRISes + 31 repositories have minted a DOI for records that did not have a DOI but do have a PDF attached locally.,"configuration, software",6,18,,,Not started,
5,Create monitoring system for tracking DURF content visibility across major indexes,"1 Discoverability health CRIS/Repo Dashboard: chart indicating implementation of the Google Scholar index guidelines, per repo over time.","software, service",12,18,,CRIS/Repo Dashboard :: https://surf-ori.github.io/dashboards/cris-repository-overview.html | Google Scholar inclusion guidelines :: https://scholar.google.com/intl/en/scholar/inclusion.html,Not started,
6,Establish Netherlands Research Portal Steering Committee with rotating NaMeCo membership,NL Portal steering committee.,signed agreement,1,25,"1, 25",,Not started,Milestone-driven: convened in month 1 and refreshed in month 25.
6,Conduct regular stakeholder needs assessments,Customer value report on Portal needs / business cases.,report,6,42,"6, 18, 30, 42",,Not started,Repeats every 12 months.
6,Create development roadmaps aligned with OpenAIRE Connect and project themes,Development roadmap.,report,9,45,"9, 21, 33, 45",,Not started,Repeats every 12 months.
6,Release quarterly portal updates with major versions annually,4 releases of the portal.,"software, service",12,48,"12, 24, 36, 48",,Not started,Quarterly updates; the milestones mark the annual major versions.
6,"Enable SSO to OpenAIRE services PROVIDE, CONNECT and MONITOR with SURFconext",80 institutions can log in with their SURFconext account.,configuration,9,9,9,,Not started,
